disasm	exe	type	lookalikes	FP	TP	FN
symbolize-nonstring-eh	nproc	CONSTANT	146	0	146	0
symbolize-nonstring-eh	nproc	OPERAND	12	0	12	0
symbolize-nonstring-eh	numfmt	CONSTANT	189	4	182	0
symbolize-nonstring-eh	numfmt	OPERAND	12	0	12	0
symbolize-nonstring-eh	numfmt	RLTV	3	0	3	0
symbolize-nonstring-eh	od	CONSTANT	182	0	182	0
symbolize-nonstring-eh	od	OPERAND	12	0	12	0
symbolize-nonstring-eh	od	RLTV	60	0	60	0
symbolize-nonstring-eh	paste	CONSTANT	140	0	140	0
symbolize-nonstring-eh	paste	OPERAND	12	0	12	0
symbolize-nonstring-eh	paste	RLTV	6	0	6	0
symbolize-nonstring-eh	pathchk	CONSTANT	134	0	134	0
symbolize-nonstring-eh	pathchk	OPERAND	12	0	12	0
symbolize-nonstring-eh	pinky	CONSTANT	191	0	191	0
symbolize-nonstring-eh	pinky	OPERAND	12	0	12	0
symbolize-nonstring-eh	pr	CONSTANT	215	0	215	0
symbolize-nonstring-eh	pr	OPERAND	12	0	12	0
symbolize-nonstring-eh	pr	RLTV	37	0	37	0
symbolize-nonstring-eh	printenv	CONSTANT	125	0	125	0
symbolize-nonstring-eh	printenv	OPERAND	12	0	12	0
symbolize-nonstring-eh	printf	CONSTANT	158	0	158	0
symbolize-nonstring-eh	printf	OPERAND	12	0	12	0
symbolize-nonstring-eh	printf	RLTV	8	0	8	0
symbolize-nonstring-eh	ptx	CONSTANT	227	0	227	0
symbolize-nonstring-eh	ptx	OPERAND	12	0	12	0
symbolize-nonstring-eh	ptx	RLTV	6	0	6	0
symbolize-nonstring-eh	pwd	CONSTANT	161	0	161	0
symbolize-nonstring-eh	pwd	OPERAND	12	0	12	0
symbolize-nonstring-eh	readlink	CONSTANT	150	1	149	0
symbolize-nonstring-eh	readlink	OPERAND	21	0	21	0
symbolize-nonstring-eh	readlink	RLTV	6	0	6	0
symbolize-nonstring-eh	realpath	CONSTANT	152	0	151	0
symbolize-nonstring-eh	realpath	OPERAND	21	0	21	0
symbolize-nonstring-eh	realpath	RLTV	6	0	6	0
symbolize-nonstring-eh	rm	CONSTANT	204	0	203	0
symbolize-nonstring-eh	rm	OPERAND	12	0	12	0
symbolize-nonstring-eh	rm	RLTV	25	0	25	0
symbolize-nonstring-eh	rmdir	CONSTANT	149	0	149	0
symbolize-nonstring-eh	rmdir	OPERAND	12	0	12	0
symbolize-nonstring-eh	runcon	CONSTANT	176	0	176	0
symbolize-nonstring-eh	runcon	OPERAND	12	0	12	0
symbolize-nonstring-eh	seq	CONSTANT	164	0	164	0
symbolize-nonstring-eh	seq	OPERAND	18	0	18	0
symbolize-nonstring-eh	sha1sum	CONSTANT	164	0	164	0
symbolize-nonstring-eh	sha1sum	OPERAND	12	0	12	0
symbolize-nonstring-eh	sha224sum	CONSTANT	164	0	164	0
symbolize-nonstring-eh	sha224sum	OPERAND	12	0	12	0
symbolize-nonstring-eh	sha224sum	RLTV	8	0	8	0
symbolize-nonstring-eh	sha256sum	CONSTANT	164	0	164	0
symbolize-nonstring-eh	sha256sum	OPERAND	12	0	12	0
symbolize-nonstring-eh	sha256sum	RLTV	8	0	8	0
symbolize-nonstring-eh	sha384sum	CONSTANT	164	0	164	0
symbolize-nonstring-eh	sha384sum	OPERAND	12	0	12	0
symbolize-nonstring-eh	sha384sum	RLTV	12	0	12	0
symbolize-nonstring-eh	sha512sum	CONSTANT	164	0	164	0
symbolize-nonstring-eh	sha512sum	OPERAND	12	0	12	0
symbolize-nonstring-eh	sha512sum	RLTV	12	0	12	0
symbolize-nonstring-eh	shred	CONSTANT	248	1	245	0
symbolize-nonstring-eh	shred	OPERAND	12	0	12	0
symbolize-nonstring-eh	shred	RLTV	12	0	12	0
symbolize-nonstring-eh	shuf	CONSTANT	210	0	209	0
symbolize-nonstring-eh	shuf	OPERAND	12	0	12	0
symbolize-nonstring-eh	shuf	RLTV	21	0	21	0
symbolize-nonstring-eh	sleep	CONSTANT	133	2	131	0
symbolize-nonstring-eh	sleep	OPERAND	15	0	15	0
symbolize-nonstring-eh	sleep	RLTV	3	0	3	0
symbolize-nonstring-eh	sort	CONSTANT	354	1	350	0
symbolize-nonstring-eh	sort	OPERAND	9	0	9	0
symbolize-nonstring-eh	sort	RLTV	44	0	44	0
symbolize-nonstring-eh	split	CONSTANT	227	0	227	0
symbolize-nonstring-eh	split	OPERAND	12	0	12	0
symbolize-nonstring-eh	stat	CONSTANT	277	0	277	0
symbolize-nonstring-eh	stat	OPERAND	12	0	12	0
symbolize-nonstring-eh	stat	RLTV	6	0	6	0
symbolize-nonstring-eh	stty	CONSTANT	182	0	182	0
symbolize-nonstring-eh	stty	OPERAND	12	0	12	0
symbolize-nonstring-eh	sum	CONSTANT	176	0	173	0
symbolize-nonstring-eh	sum	OPERAND	12	0	12	0
symbolize-nonstring-eh	sum	RLTV	6	0	6	0
symbolize-nonstring-eh	sync	CONSTANT	143	0	143	0
symbolize-nonstring-eh	sync	OPERAND	12	0	12	0
symbolize-nonstring-eh	tac	CONSTANT	176	0	176	0
symbolize-nonstring-eh	tac	OPERAND	12	0	12	0
symbolize-nonstring-eh	tail	CONSTANT	219	1	218	0
symbolize-nonstring-eh	tail	OPERAND	15	0	15	0
symbolize-nonstring-eh	tail	RLTV	12	0	12	0
symbolize-nonstring-eh	tee	CONSTANT	158	0	158	0
symbolize-nonstring-eh	tee	OPERAND	12	0	12	0
symbolize-nonstring-eh	test	CONSTANT	149	0	149	0
symbolize-nonstring-eh	test	OPERAND	12	0	12	0
symbolize-nonstring-eh	timeout	CONSTANT	205	1	203	0
symbolize-nonstring-eh	timeout	OPERAND	15	0	15	0
symbolize-nonstring-eh	timeout	RLTV	6	0	6	0
symbolize-nonstring-eh	touch	CONSTANT	226	1	224	0
symbolize-nonstring-eh	touch	OPERAND	12	0	12	0
symbolize-nonstring-eh	tr	CONSTANT	155	0	155	0
symbolize-nonstring-eh	tr	OPERAND	12	0	12	0
symbolize-nonstring-eh	tr	RLTV	9	0	9	0
symbolize-nonstring-eh	true	CONSTANT	137	3	122	0
symbolize-nonstring-eh	true	OPERAND	12	0	12	0
symbolize-nonstring-eh	truncate	CONSTANT	146	0	146	0
symbolize-nonstring-eh	truncate	OPERAND	12	0	12	0
symbolize-nonstring-eh	tsort	CONSTANT	149	0	149	0
symbolize-nonstring-eh	tsort	OPERAND	12	0	12	0
symbolize-nonstring-eh	tsort	RLTV	9	0	9	0
symbolize-nonstring-eh	tty	CONSTANT	131	0	131	0
symbolize-nonstring-eh	tty	OPERAND	12	0	12	0
symbolize-nonstring-eh	uname	CONSTANT	131	0	131	0
symbolize-nonstring-eh	uname	OPERAND	12	0	12	0
symbolize-nonstring-eh	unexpand	CONSTANT	149	0	149	0
symbolize-nonstring-eh	unexpand	OPERAND	12	0	12	0
symbolize-nonstring-eh	uniq	CONSTANT	173	0	173	0
symbolize-nonstring-eh	uniq	OPERAND	12	0	12	0
symbolize-nonstring-eh	unlink	CONSTANT	128	3	125	0
symbolize-nonstring-eh	unlink	OPERAND	12	0	12	0
symbolize-nonstring-eh	unlink	RLTV	3	0	3	0
symbolize-nonstring-eh	uptime	CONSTANT	206	0	206	0
symbolize-nonstring-eh	uptime	OPERAND	12	0	12	0
symbolize-nonstring-eh	uptime	RLTV	3	0	3	0
symbolize-nonstring-eh	users	CONSTANT	149	0	149	0
symbolize-nonstring-eh	users	OPERAND	12	0	12	0
symbolize-nonstring-eh	users	RLTV	9	0	9	0
symbolize-nonstring-eh	vdir	CONSTANT	491	5	482	0
symbolize-nonstring-eh	vdir	OPERAND	21	0	21	0
symbolize-nonstring-eh	vdir	RLTV	21	0	21	0
symbolize-nonstring-eh	wc	CONSTANT	191	0	191	0
symbolize-nonstring-eh	wc	OPERAND	12	0	12	0
symbolize-nonstring-eh	who	CONSTANT	188	0	188	0
symbolize-nonstring-eh	who	OPERAND	12	0	12	0
symbolize-nonstring-eh	whoami	CONSTANT	131	0	131	0
symbolize-nonstring-eh	whoami	OPERAND	12	0	12	0
symbolize-nonstring-eh	whoami	RLTV	3	0	3	0
symbolize-nonstring-eh	yes	CONSTANT	128	0	125	0
symbolize-nonstring-eh	yes	OPERAND	12	0	12	0
symbolize-nonstring-eh	yes	RLTV	3	0	3	0
